type,name,url,poster_url,description,rating,genre,datePublished,keywords,duration,actors,director,creator
Movie,Maine Pyar Kiya,https://www.imdb.com/title/tt0100095/,https://m.media-amazon.com/images/M/MV5BMzRlZjIyZTQtZWMzYy00NDNlLWI3ZDktM2M4NjZiNWYxNmE1XkEyXkFqcGdeQXVyNjc1MzY5NDU@._V1_.jpg,"After Suman&apos;s father leaves her in the care of another family while he travels abroad, she falls in love with Prem. However, in order to for them to marry, Prem has to prove to Suman&apos;s father that he is not the same as his own dad.",7.3,Drama | Musical | Romance,1989-12-29,"dove,love,insult,wealth,wages",PT3H12M,Salman Khan | Bhagyashree Patwardhan | Alok Nath,Sooraj R. Barjatya,S.M. Ahale | Sooraj R. Barjatya
Movie,Mujrim,https://www.imdb.com/title/tt0097926/,https://m.media-amazon.com/images/M/MV5BOWQwZWE5MjctMTlkYy00NWUwLTg0ZTktZmUxYzcxZGE4NWNkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,,5.4,Action | Crime,1989-06-28,"gangster,mother son relationship,anti hero,teenager,love",PT2H43M,Mithun Chakraborty | Madhuri Dixit | Suresh Oberoi,Umesh Mehra,Mukul Dutt | P.D. Mehra | Vinay Shukla
Movie,Ram Lakhan,https://www.imdb.com/title/tt0098168/,https://m.media-amazon.com/images/M/MV5BMjI1MjQ4MzIxNl5BMl5BanBnXkFtZTgwMTEzNzg3NjE@._V1_.jpg,"Ram Lakhan is the story of two brothers who part ways due to their ideological differences, but how they come to each other&apos;s rescue as the story unfolds.",6.8,Action | Comedy | Drama,1989-01-27,"gun shot out of hand,escape from prison,police,explosion,beating",PT2H54M,Rakhee Gulzar | Jackie Shroff | Anil Kapoor,Subhash Ghai,Subhash Ghai | Ram Kelkar | Anwar Khan
Movie,Toofan,https://www.imdb.com/title/tt0098491/,https://m.media-amazon.com/images/M/MV5BN2QwMmU4MzMtODA0Zi00MjgwLTkxYmMtMTQyZTQ2NjU1YmEyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,"Honest police officer Hanuman Prasad Singh lives like friend and family with a magician by the name of Ramesh Kumar. Hanuman&apos;s wife passes away after giving birth to male twin babies; upon finding out that Ramesh&apos;s wife, Devyani l...",5,Action | Crime,1989-08-11,"one word title,adopted son,identity swap,action hero,hero",PT2H54M,Amitabh Bachchan | Meenakshi Sheshadri | Amrita Singh,Ketan Desai,Salim Khan | K.K. Shukla
Movie,Chaalbaaz,https://www.imdb.com/title/tt0122427/,https://m.media-amazon.com/images/M/MV5BNmM1ZGY5ODAtMWM3Zi00ZDBjLTkzZDgtYTI0NDk0ZDhkMTMxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"Twins separated at infancy are brought up differently. One weak, one strong. One day, they end up at each others house. Their life is not the same anymore.",6.8,Action | Comedy | Drama,1989-12-08,"telephone call,theft,dancing,fight,identical twins",PT2H35M,Sridevi | Sunny Deol | Rajinikanth,Pankaj Parashar,Rajesh Mazumdar | Kamlesh Pandey | Pankaj Parashar
Movie,Shiva,https://www.imdb.com/title/tt0248428/,https://m.media-amazon.com/images/M/MV5BZjE5MmU2YWItNTVkNi00ZTQzLWE3YTctNTYxY2Q5ZDkxZjNhXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg,"Shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo.",8,Action | Crime | Drama,1989-10-05,"brother brother relationship,politician,organized crime,student union,election",PT2H41M,Nagarjuna Akkineni | Amala Akkineni | Raghuvaran,Ram Gopal Varma,Azam | Tanikella Bharani | Iqbal Durrani
Movie,Tridev,https://www.imdb.com/title/tt0100816/,https://m.media-amazon.com/images/M/MV5BN2VmN2E3YWUtYzVhNC00YWI3LTk5NGUtNWMyM2Q4YzE5ZGRjXkEyXkFqcGdeQXVyOTI1NzYyOTE@._V1_.jpg,,6.5,Action | Crime | Drama,1989-07-07,"police inspector,bandit,friendship,three man army,tough guy",PT2H53M,Sunny Deol | Naseeruddin Shah | Jackie Shroff,Rajiv Rai,Arshad Parvez | Rajiv Rai | K.K. Singh
Movie,Laal Dupatta Malmal Ka,https://www.imdb.com/title/tt2699940/,https://m.media-amazon.com/images/M/MV5BNTAzZTQ0YmUtMGVhYy00OGRhLTk1MjctNWFhNDA3N2Y2ZTg0XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,Two lovers decide to end their lives in order to save them and their love from villagers.,6.5,Romance,1989-01-01,,PT2H10M,Radha Asrani | Sahil Chaddha | Dan Dhanoa,Ravindra Peepat,
Movie,Parinda,https://www.imdb.com/title/tt0102636/,https://m.media-amazon.com/images/M/MV5BMjA5ODU4ODU2MV5BMl5BanBnXkFtZTcwMTI3ODgzMQ@@._V1_.jpg,"A man&apos;s friend, a police officer, is assassinated by gangsters in broad daylight. He discovers that his elder brother works in the same gang and decides to avenge his friend&apos;s death by infiltrating the gang.",7.8,Action | Crime | Drama,1989-11-03,"death of brother,henchman,betrayal,sex in bed,temple",PT2H34M,Jackie Shroff | Anil Kapoor | Nana Patekar,Vidhu Vinod Chopra,Vidhu Vinod Chopra | Imtiaz Hussain | Shivkumar Subramaniam
Movie,Vardi,https://www.imdb.com/title/tt0100857/,https://m.media-amazon.com/images/M/MV5BZDVjMGEwMzYtMWQ5Mi00ZTI5LTk4N2QtOGEwM2EzMzI1MGRiXkEyXkFqcGdeQXVyODcxMDYxMDM@._V1_.jpg,Inspector Verma and Havaldar Bhagwan Singh arrests Lalchand; with Bhagwan Singh loses his life in the process leaving an only son Ajay to be brought up by Verma and his wife. Years later Ajay is now a police inspector like his dad...,4.6,Action | Crime | Drama,1989-01-06,"police officer,police,arrest,gangster,adoptive father adopted son relationship",PT2H41M,Sunny Deol | Jackie Shroff | Kimi Katkar,Umesh Mehra,
