type,name,url,poster_url,description,rating,genre,datePublished,keywords,duration,actors,director,creator
Movie,My Name Is Khan,https://www.imdb.com/title/tt1188996/,https://m.media-amazon.com/images/M/MV5BOGE3Y2FiMGItYTcyNy00ZmNjLWFkM2ItM2JkYjgyYzllMThkXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_.jpg,An Indian Muslim man with Asperger&apos;s syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,7.9,Adventure | Drama | Romance,2010-02-12,"barack obama character,asperger&apos;s syndrome,racial profiling,autism,airport",PT2H45M,Shah Rukh Khan | Kajol | Sheetal Menon,Karan Johar,Shibani Bathija | Niranjan Iyengar
Movie,Udaan,https://www.imdb.com/title/tt1639426/,https://m.media-amazon.com/images/M/MV5BNzgxMzExMzUwNV5BMl5BanBnXkFtZTcwMDc2MjUwNA@@._V1_.jpg,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.1,Drama,2010-07-16,"character repeats someone else&apos;s dialogue,engineering college,authoritarian,boarding school,dark hero",PT2H14M,Rajat Barmecha | Ronit Roy | Manjot Singh,Vikramaditya Motwane,Vikramaditya Motwane | Anurag Kashyap | Devanshu Singh
Movie,Kites,https://www.imdb.com/title/tt1198101/,https://m.media-amazon.com/images/M/MV5BMGRhYTVhODQtMWNlMS00ZjY0LWJhNWMtNDJjOTEyNWY3MGYxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,,6,Action | Drama | Romance,2010-05-21,"desert,casino,love,tragic event,suicide",PT2H3M,Hrithik Roshan | Bárbara Mori | Nicholas Brown,Anurag Basu,Anurag Basu | Robin Bhatt | Sanjeev Dutta
Movie,Karthik Calling Karthik,https://www.imdb.com/title/tt1373156/,https://m.media-amazon.com/images/M/MV5BMTg4NzUyNDExMl5BMl5BanBnXkFtZTcwOTg3NTk5Mw@@._V1_.jpg,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.",7.1,Drama | Mystery | Romance,2010-02-26,"imagination,urban setting,cabin,disco,cochin india",PT2H15M,Farhan Akhtar | Deepika Padukone | Ram Kapoor,Vijay Lalwani,Vijay Lalwani
Movie,Raajneeti,https://www.imdb.com/title/tt1291465/,https://m.media-amazon.com/images/M/MV5BMTkwMzE5NzE3Nl5BMl5BanBnXkFtZTcwMDMyODE1Mw@@._V1_.jpg,"Samar, the son of a political family, has chosen to go to the USA to live with his girlfriend. However, the death of his father makes him put his plans on hold and enter the dirty world of politics.",7.1,Crime | Drama | Thriller,2010-06-04,"man wears eyeglasses,political advisor,illegitimate son,false accusation of rape,dysfunctional family",PT2H43M,Ajay Devgn | Ranbir Kapoor | Nana Patekar,Prakash Jha,Prakash Jha | Anjum Rajabali | Sameer
Movie,Housefull,https://www.imdb.com/title/tt1573072/,https://m.media-amazon.com/images/M/MV5BMDlkMmRkM2QtYmZiMi00NWYzLThmMjEtN2IwMTNhMDFkODA0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,"Believing himself to be jinxed, a man attempts to find true love, but instead gets caught in a web of lies.",5.5,Comedy | Drama | Romance,2010-04-30,"lie,mix up,sleepwalking,bad luck,casino",PT2H24M,Akshay Kumar | Deepika Padukone | Riteish Deshmukh,Sajid Khan,Anvita Dutt | Sajid Khan | Sajid Nadiadwala
Movie,Dabangg,https://www.imdb.com/title/tt1620719/,https://m.media-amazon.com/images/M/MV5BMTMyOTQ0Mzg2Ml5BMl5BanBnXkFtZTcwMDcyOTM5NA@@._V1_.jpg,"A corrupt police officer faces challenges from his family, gangsters and politicians.",6.2,Action | Comedy | Crime,2010-09-10,"action hero,police officer,laundry drying on a clothesline,hose,corrupt police officer",PT2H6M,Salman Khan | Sonakshi Sinha | Sonu Sood,Abhinav Kashyap,Dilip Shukla | Abhinav Kashyap
Movie,Tees Maar Khan,https://www.imdb.com/title/tt1572311/,https://m.media-amazon.com/images/M/MV5BNTk1NTM5NDYwNl5BMl5BanBnXkFtZTcwMDI2MTYxNA@@._V1_.jpg,"Posing as a movie producer, a conman attempts to trick an entire village into helping him rob a treasure-laden train.",2.6,Comedy | Crime,2010-12-24,"bound and gagged,child kidnapping,movie reality crossover,memory,forgetting a name",PT2H15M,Akshay Kumar | Katrina Kaif | Akshaye Khanna,Farah Khan,Vishal Dadlani | Anvita Dutt | Ashmith Kunder
Movie,Guzaarish,https://www.imdb.com/title/tt1438298/,https://m.media-amazon.com/images/M/MV5BMTMzMzIzOTQwOF5BMl5BanBnXkFtZTcwMTI2MTYxNA@@._V1_.jpg,"Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.",7.4,Drama | Romance,2010-11-19,"nurse,magician,quadriplegic,euthanasia,physician",PT2H6M,Hrithik Roshan | Aishwarya Rai Bachchan | Shernaz Patel,Sanjay Leela Bhansali,Sanjay Leela Bhansali | Bhavani Iyer | Vibhu Puri
TVSeries,Sasural Genda Phool,https://www.imdb.com/title/tt3889862/,https://m.media-amazon.com/images/M/MV5BMmRmOTY5NGYtNDdjYi00ZjNlLThmNDItNTQ2YTA3NGRlMTRhXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg,,7.6,Drama,2010-03-01,,,Ragini Khanna | Jay Soni | Akshay Bhagat,,
